feature,coef_log_odds,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,p_value,variant
snapshot_snapshot_20230831,-0.18207061272469946,0.83354247963196,0.571221130394171,1.2163294184715379,0.3450257330124573,primary
has_role_instruction_first,-0.4292807049683366,0.6509771710054937,0.4977183931442956,0.8514278013580633,0.001722584860038585,primary
source_type_issue,-1.683999331102558,0.185630093308511,0.12539571702675806,0.27479831336163923,3.969358481378925e-17,primary
source_type_pr,-1.7697999850908481,0.17036706137008978,0.11060241665428934,0.2624258716751494,9.806847876730517e-16,primary
source_type_discussion,-2.209121275982547,0.10979708747550182,0.06542157070774907,0.18427256159832708,6.155762046934303e-17,primary
source_type_file,-2.270570354778085,0.10325327228832346,0.07207261081498828,0.1479235748183767,3.412982468555237e-35,primary
source_type_hn,-2.757661579935426,0.06343994428194878,0.04082901611273805,0.09857270425973214,1.406982448158951e-34,primary
snapshot_snapshot_20230803,-10.823385585926514,1.992798393959047e-05,,,,primary
model_Default,-11.316036232968363,1.2176091611065883e-05,,,,primary
snapshot_snapshot_20231012,-16.016225939073447,1.1072392022211841e-07,9.85967654375977e-305,1.0142320547350045e+304,0.9937140578478733,primary
snapshot_snapshot_20240514,-16.242638558569656,8.829003774073968e-08,9.85967654375977e-305,1.0142320547350045e+304,0.9936251988183872,primary
correction_cycles,-19.58367528273605,3.125488385102967e-09,9.85967654375977e-305,1.0142320547350045e+304,0.9710242715581782,primary
source_type_commit,2.077939565849433,7.987993212566246,2.8153708811209532,22.664166910257645,9.408545054763562e-05,explicit_strict
repo_language_OTHER,1.8091753512688746,6.105410536629239,3.477459625148206,10.719330154464313,2.982718536861435e-10,explicit_strict
repo_language_JavaScript,1.522193070280023,4.582263409562773,2.171142226332279,9.671009895140964,6.490675809920226e-05,explicit_strict
repo_language_HTML,1.3761716059101363,3.959713229733223,2.047529996928525,7.657679684910445,4.3211051960694614e-05,explicit_strict
repo_language_C++,1.3375152906091834,3.809566071315275,1.750762341334232,8.28941387935983,0.000746686239973714,explicit_strict
repo_language_Python,1.3097600308135717,3.705284451421579,2.0092196405387854,6.833067221194869,2.7349120582811973e-05,explicit_strict
repo_language_TypeScript,1.2596655552562355,3.52424262582239,1.7119063130352983,7.25523703668204,0.0006279327127860664,explicit_strict
repo_language_CSS,1.0931933378434824,2.9837871156120275,1.6270985150924708,5.471694226693073,0.0004102931948208106,explicit_strict
source_type_pr,0.823529430043934,2.2785275661937336,0.8264001796712128,6.282292765195522,0.11150156265580105,explicit_strict
repo_language_Jupyter Notebook,0.7805070647270217,2.1825786936286438,1.0312642142257884,4.61923306187637,0.04130602374223845,explicit_strict
model_GPT-3.5,0.7460026402075515,2.108554497001743,0.810212313360401,5.487453095332793,0.1263400060483232,explicit_strict
source_type_issue,0.6628560778543643,1.9403261506844838,0.7337580129013968,5.130936228066777,0.18154765982157572,explicit_strict
source_type_file,0.6377574098344889,1.8922326152739615,0.7251071122588512,4.937952213918352,0.19252042472315856,explicit_strict
has_output_format_first,0.3455753089948938,1.4128024838844828,0.9803466177622893,2.0360256487916493,0.06381031162684823,explicit_strict
model_GPT-4,0.2746509078570577,1.3160711645634677,0.5346220107509564,3.2397530879107066,0.5501363573250625,explicit_strict
source_type_hn,0.22940878862763409,1.2578561312067953,0.39035446214873254,4.053244423299758,0.7007813617255239,explicit_strict
model_Default (GPT-3.5),0.22850032763843697,1.2567139368796203,0.4667985357323363,3.3833223505505305,0.6511157464844475,explicit_strict
model_OTHER,0.1728700064562852,1.1887115702105153,0.55307472595453,2.554872119158306,0.6578929469885723,explicit_strict
first_specification_clarity_count,0.11788071088817437,1.1251098900024432,0.8078809346184538,1.5669044909187715,0.4854614368139887,explicit_strict
refinement_turns,0.10980902749772754,1.116064912396836,1.0651271099834563,1.1694387242689785,4.082564376459341e-06,explicit_strict
total_example_count,0.03418097492867446,1.034771857546869,1.0164888541129864,1.053383706902879,0.00017123196803966878,explicit_strict
iteration_count,0.016738181836985975,1.0168790500644094,1.0088547373235235,1.0249671872515524,3.458898546333124e-05,explicit_strict
first_prompt_tokens,-0.0001592832078713623,0.9998407294770253,0.9993922788187929,1.0002893813655425,0.48650149997710235,explicit_strict
prompt_token_growth,-0.0005593303668951744,0.9994408260291741,0.9989787825332588,0.9999030832275182,0.017750841635893418,explicit_strict
first_constraint_count,-0.010239342766445367,0.98981290083826,0.9398327127440661,1.0424510291893294,0.6985174877899998,explicit_strict
snapshot_snapshot_20230727,-0.018588247242926077,0.9815834487365483,0.6438863678371931,1.4963914674415952,0.9311443236333917,explicit_strict
snapshot_snapshot_20231012,-0.08268002281089858,0.920645685713485,0.4107254670987578,2.063637506118053,0.8408800535939909,explicit_strict
has_specification_clarity_first,-0.11367705990518141,0.8925461482832197,0.4762538989013089,1.6727183308168432,0.722806885385252,explicit_strict
snapshot_snapshot_20240514,-0.3824819319265115,0.6821662162944319,0.2918282634855,1.5946047894589326,0.37730717730032315,explicit_strict
correction_cycles,-0.4198581711194253,0.6571400146386989,0.5533017082713696,0.7804656887622596,1.71397733997631e-06,explicit_strict
snapshot_snapshot_20230810,-0.5601954315516485,0.5710974424826749,0.26384723107022723,1.2361406541478592,0.1550603579417761,explicit_strict
snapshot_snapshot_20230831,-0.655287516485212,0.5192927358989128,0.21349496499215043,1.2630974485383897,0.14847521634207117,explicit_strict
has_role_instruction_first,-1.0201540563092586,0.3605393925263005,0.20805028704722026,0.6247943966245566,0.0002762902975252228,explicit_strict
source_type_commit,2.18032734811366,8.849202554410134,2.730590420707767,28.678188151220926,0.000278627322740448,strict_positive
repo_language_OTHER,1.8892046670952798,6.614106172323145,3.4673238576455585,12.61676216437092,9.841950724849181e-09,strict_positive
repo_language_TypeScript,1.5074104836483893,4.51502391502251,2.0150494721810763,10.116595763358669,0.0002501443121992466,strict_positive
repo_language_HTML,1.4026402735677275,4.065920951066577,1.8903436208628062,8.745348199062665,0.0003313257195018045,strict_positive
repo_language_JavaScript,1.379863355910764,3.974358517789267,1.6379253564764404,9.643617497871794,0.0022810150508386817,strict_positive
repo_language_Python,1.353857790526069,3.8723354114712984,1.914745923394987,7.831316602229589,0.00016473634911853285,strict_positive
repo_language_C++,1.276359418826545,3.583569672427063,1.4231911533536554,9.023363844609177,0.00674926455985932,strict_positive
repo_language_CSS,1.1986071893881023,3.315495847542147,1.6584332340242873,6.628251586827665,0.0006957709948139273,strict_positive
repo_language_Jupyter Notebook,0.8121815972436087,2.2528173697452467,0.9387499305611965,5.406323810209907,0.06899576063685246,strict_positive
source_type_pr,0.5727690643929089,1.7731702823109816,0.5739303946925347,5.478247674537567,0.3196368474866056,strict_positive
source_type_issue,0.5668559117695633,1.7627161945735668,0.5976514333740809,5.198964160547882,0.30432888255120005,strict_positive
source_type_file,0.510295674118893,1.6657836512523567,0.5718016887500368,4.852792895462492,0.3495935016857974,strict_positive
has_output_format_first,0.47257914951943086,1.604126143640381,1.0481632670372099,2.4549807893804116,0.029508983863441692,strict_positive
model_GPT-3.5,0.4284203863789995,1.5348311674821609,0.49019779125108015,4.80562490227145,0.46192126473143813,strict_positive
refinement_turns,0.3177823579772383,1.3740771717464324,1.2468556387766303,1.5142796128084233,1.4490564500257406e-10,strict_positive
model_Default (GPT-3.5),0.18610019644133027,1.2045429452479748,0.3677866080875916,3.945015057756305,0.7584972935187393,strict_positive
model_GPT-4,0.12546127851620315,1.1336712706768903,0.3850795446417454,3.3375196575394224,0.8198530297080391,strict_positive
first_specification_clarity_count,0.10104689721858919,1.1063285242774756,0.6165808777120529,1.9850807053435335,0.7347842350397362,strict_positive
total_example_count,0.025938155672064384,1.0262774770699443,1.0018633345367398,1.0512865613832145,0.03472862655365048,strict_positive
iteration_count,0.02409630892301342,1.0243889709384988,1.0129335650033073,1.0359739276455018,2.673250446129106e-05,strict_positive
first_prompt_tokens,-0.0010868462700941964,0.9989137441334013,0.9980029617267221,0.9998253577245799,0.019530891989603567,strict_positive
prompt_token_growth,-0.0015927343215677925,0.9984085334066011,0.9975220009136634,0.9992958537917961,0.0004412728273802388,strict_positive
first_constraint_count,-0.01428036590396853,0.9858211148859602,0.9237608013482548,1.052050778877568,0.6668639521255031,strict_positive
snapshot_snapshot_20231012,-0.091094463221045,0.9129314683788604,0.33579798244101094,2.4819799687235813,0.8583186228343951,strict_positive
source_type_hn,-0.12650521420622327,0.8811695549317599,0.2306360342311445,3.366602218630173,0.8532466133390781,strict_positive
snapshot_snapshot_20230727,-0.1363797079109103,0.8725112701506155,0.5426071573640848,1.4029964518677194,0.5736069893750113,strict_positive
has_specification_clarity_first,-0.15074983483587787,0.8600628295078607,0.3561506218297613,2.0769529108239073,0.7375301802786762,strict_positive
snapshot_snapshot_20230810,-0.21198803696330878,0.8089743752987462,0.35404312401894245,1.848474085476045,0.6151041421022108,strict_positive
snapshot_snapshot_20240514,-0.22082198836500502,0.8018594078904663,0.28501660565089193,2.255933504485047,0.6756433042821692,strict_positive
model_OTHER,-0.3576058115831799,0.6993486958349041,0.2797475887534467,1.7483210509350828,0.4443012578040356,strict_positive
has_role_instruction_first,-0.816495004533896,0.44197807397163363,0.23633678833489952,0.8265518849095258,0.0105767184314631,strict_positive
snapshot_snapshot_20230831,-0.9261110423710317,0.39609110051853635,0.1378942818166686,1.1377423185579891,0.08538518273321788,strict_positive
correction_cycles,-33.14031365165821,4.0489708724184904e-15,9.85967654375977e-305,1.0142320547350045e+304,0.9983924294686265,strict_positive
model_OTHER,0.6043326869206689,1.8300305979790303,0.7052786537202539,4.748494757177013,0.2141477594341067,signal_only
repo_language_Python,0.4041328819669039,1.4980029913170572,0.7769733935533429,2.8881464675801527,0.22760110682898327,signal_only
model_GPT-4,0.23177217516303442,1.2608324471579075,0.40918150601710324,3.885069184284566,0.6864635287240302,signal_only
snapshot_snapshot_20230727,0.16136071505469252,1.1751087717981068,0.7743847930833024,1.7831969815144733,0.44825077374860633,signal_only
has_specification_clarity_first,0.14523306869626762,1.15630903830456,0.5168698458268247,2.5868225876593116,0.7237002659291867,signal_only
model_GPT-3.5,0.10614488910579267,1.1119829790547389,0.3310834220013751,3.7347268499064743,0.8636600863889067,signal_only
snapshot_snapshot_20240514,0.07808458880696552,1.0812141134139328,0.3558269402630272,3.285372260406517,0.8904747898669779,signal_only
first_constraint_count,0.04486141371563458,1.0458829048388938,0.9757162453972882,1.1210954576131347,0.20546392335204167,signal_only
total_example_count,0.030196848723301202,1.0306573975790132,1.0111353968461771,1.0505563097658461,0.0019684518345241086,signal_only
iteration_count,0.007860364419431073,1.0078913381856773,1.0021161772661755,1.0136997811581017,0.00734074467236981,signal_only
prompt_token_growth,-8.631226507150001e-05,0.9999136914597249,0.9995559721549399,1.0002715387844554,0.6363670765404423,signal_only
first_prompt_tokens,-0.0001268804007122857,0.9998731276482653,0.999447702942448,1.0002987334402764,0.5589854331271178,signal_only
refinement_turns,-0.008229521443970197,0.9918042483676706,0.9584141734192259,1.0263575960806293,0.6376444608975527,signal_only
has_role_instruction_first,-0.013415789108529096,0.9866738014997601,0.5677796429972056,1.714617990576283,0.9620488583832686,signal_only
snapshot_snapshot_20231012,-0.051856649939455324,0.9494649629478877,0.3424500697871645,2.632453006728582,0.9206091095872582,signal_only
repo_language_OTHER,-0.0933249237803487,0.9108974799540238,0.5600867862139401,1.4814386616677868,0.7068402019052553,signal_only
source_type_file,-0.13218496258399348,0.8761789197738598,0.5481330478562636,1.4005532095875344,0.5807133349603839,signal_only
first_specification_clarity_count,-0.16822834478328805,0.8451608245837394,0.5283909184099593,1.3518340200859953,0.4826808473114397,signal_only
source_type_issue,-0.20410829352305973,0.8153740666756838,0.4799337339470315,1.3852638845358134,0.4503670687016371,signal_only
repo_language_CSS,-0.3103395219239784,0.7331979771718911,0.3998174981205896,1.3445616468912343,0.31583898569822555,signal_only
has_output_format_first,-0.3508260617603297,0.7041062142004827,0.4654345471970169,1.0651670871046883,0.09670246145381425,signal_only
correction_cycles,-0.4466358982164779,0.6397768097497927,0.5580171609098542,0.7335157320721643,1.5300996913097472e-10,signal_only
source_type_commit,-0.8573525378343433,0.4242838722135551,0.22467349980141516,0.8012373705828323,0.008214414160948567,signal_only
model_OTHER,0.5679768305330265,1.7646931640348085,0.6498971498817617,4.79174583818032,0.2650990706287857,no_no_code_penalty
repo_language_OTHER,0.31531577700012714,1.3706920756565801,0.8467968956218672,2.2187100306833325,0.19941810323111386,no_no_code_penalty
snapshot_snapshot_20240514,0.2908891470814662,1.3376162970607623,0.4144044120359519,4.317563486769346,0.626582136050547,no_no_code_penalty
model_GPT-4,0.16918844372849315,1.184343299963921,0.3640659921331371,3.8527879079034686,0.7786237622802092,no_no_code_penalty
snapshot_snapshot_20230727,0.1642196332808751,1.17847311858821,0.7432332173178854,1.8685909871558173,0.4850266488562258,no_no_code_penalty
first_specification_clarity_count,0.13900807050581254,1.1491333740537566,0.7526393051687943,1.7545024586086702,0.5196908808006935,no_no_code_penalty
snapshot_snapshot_20231012,0.13805747282119027,1.1480415295637,0.39479080785391896,3.338475282055321,0.7998909856900092,no_no_code_penalty
source_type_issue,0.06582272654460161,1.068037365708682,0.6226549207463765,1.831999999586575,0.811034837636989,no_no_code_penalty
model_GPT-3.5,0.05813564491642549,1.0598587504118924,0.2969887875988278,3.782299594225797,0.9286332187847144,no_no_code_penalty
source_type_file,0.047227334757327,1.0483603107283364,0.6465689560295496,1.699833143644132,0.8481154078772655,no_no_code_penalty
total_example_count,0.03183733320990839,1.032349562656533,1.010725829359447,1.0544359197711979,0.0032008436132689977,no_no_code_penalty
first_constraint_count,0.021632222378319493,1.0218678952086744,0.9471007723461801,1.1025373706236719,0.5768406109595676,no_no_code_penalty
refinement_turns,0.011986483966637687,1.0120586097557003,0.9717454825211549,1.0540441381041794,0.563286971174358,no_no_code_penalty
iteration_count,0.007009334350809838,1.0070339572312115,0.999351260468858,1.0147757161390556,0.07283233151368794,no_no_code_penalty
prompt_token_growth,-0.0005449379492951809,0.9994552105024223,0.9989448352986637,0.9999658464641719,0.036526350192391616,no_no_code_penalty
first_prompt_tokens,-0.0006555137559652757,0.9993447010462391,0.9987856642126067,0.9999040507820209,0.021672433639435513,no_no_code_penalty
has_output_format_first,-0.14829987293704783,0.8621725339632629,0.5534828787417637,1.3430252440879051,0.5119590222347604,no_no_code_penalty
source_type_commit,-0.23866644876649737,0.7876775693853347,0.40996738958555656,1.5133787932254776,0.4737818184599143,no_no_code_penalty
has_specification_clarity_first,-0.36167763154074767,0.6965068634991121,0.31281004377540583,1.5508511333148975,0.37585419735805825,no_no_code_penalty
has_role_instruction_first,-0.4487902413076557,0.6383999945984224,0.3353064356188675,1.215468925763538,0.17193032174477574,no_no_code_penalty
correction_cycles,-0.5032718195800917,0.6045494436823369,0.5164302164233932,0.7077045808585796,3.8226572327781844e-10,no_no_code_penalty
